Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_30423;0;0;0;0;0;0
PITA_26431;18;32;114;114;110;80
PITA_38547;1;3;0;0;0;4
PITA_23948;0;0;0;0;0;0
PITA_15813;73;86;132;89;78;115
PITA_22840;0;0;0;0;0;0
PITA_37161;16;0;21;9;3;2
PITA_41259;193;310;452;256;236;325
PITA_02340;38;227;139;54;82;149
PITA_47420;0;0;0;0;0;0
PITA_24366;0;1;1;1;2;2
PITA_37122;140;190;244;236;391;186
PITA_00474;109;108;186;131;98;157
PITA_14933;0;0;0;0;0;9
PITA_48085;23;17;37;45;9;39
PITA_16987;829;881;1767;999;918;1121
PITA_03280;51;40;80;58;38;53
PITA_13168;20;11;44;32;30;41
PITA_32886;27;27;100;23;12;23
PITA_49234;0;0;0;0;0;0
PITA_35834;24;44;38;24;13;43
PITA_28936;214;245;475;290;237;320
PITA_12465;0;0;0;0;0;0
PITA_13783;8;3;6;3;4;8
PITA_40935;0;0;0;0;1;0
PITA_48461;60;100;130;91;60;108
PITA_00569;3;2;10;5;0;5
PITA_14565;1;0;0;0;0;0
PITA_30645;435;158;614;465;391;206
PITA_45595;0;0;0;0;0;0
PITA_36640;801;1039;1860;1065;1283;922
PITA_03929;4;1;0;0;1;0
PITA_00078;0;0;3;3;0;0
PITA_39572;70;122;138;68;95;122
PITA_23316;0;0;0;0;0;0
PITA_45118;289;202;451;378;226;293
PITA_32273;0;0;0;0;0;0
PITA_10945;0;2;0;3;0;1
PITA_08371;42;87;135;52;48;73
PITA_46033;33;49;40;17;13;6
PITA_44835;22;3;32;44;10;9
PITA_05705;148;248;255;129;186;282
PITA_33608;23;18;21;24;26;25
PITA_32983;0;0;0;0;0;0
PITA_01170;1;0;0;0;1;0
PITA_22217;159;139;145;118;27;149
PITA_09300;3768;4561;7656;4929;5638;5277
PITA_27202;28;52;3;5;1138;27
PITA_49438;0;0;0;0;0;0
PITA_10350;73;35;108;105;51;270
PITA_10585;0;0;0;2;0;0
PITA_33480;26;52;68;97;85;53
PITA_11872;0;0;1;0;0;3
PITA_25727;87;31;105;98;118;63
PITA_05773;18;19;37;22;18;39
PITA_32725;68;23;68;50;47;8
PITA_35323;0;0;0;0;0;0
PITA_50544;98;337;580;177;220;219
PITA_24091;0;0;0;0;0;0
PITA_37500;0;0;0;0;0;0
PITA_01568;2;0;0;0;0;0
PITA_14537;7;14;19;7;5;1
PITA_30416;0;0;0;0;0;0
PITA_00686;25;8;48;36;39;12
PITA_08860;294;243;599;474;489;303
PITA_15988;13;25;47;107;77;4
PITA_42894;1230;927;2351;1932;1364;2097
PITA_40381;143;258;373;216;211;256
PITA_48175;0;0;18;0;0;22
PITA_47795;279;381;532;369;282;452
PITA_32219;12;12;19;15;2;10
PITA_44416;0;0;0;0;0;1
PITA_12668;0;0;0;0;0;0
PITA_43721;11;7;26;17;22;9
PITA_05501;0;0;0;0;1;0
PITA_46954;0;0;0;0;0;0
PITA_41578;0;0;0;0;0;0
PITA_32815;7;11;49;25;18;147
PITA_02103;0;0;0;0;0;0
PITA_14424;0;0;0;0;0;0
PITA_41380;129;50;427;148;108;148
